f [Hz];sf [Hz];Vs [V];sVs [V];Vout [V];sVout [V];A;sA;status
50;0,5;1,02;0,1;4,92;0,2;4,82;;1
100;1;1,02;0,1;4,92;0,2;4,82;;1
1000;10;1,02;0,1;4,84;0,2;4,75;;1
10000;100;1;0,1;4,8;0,2;4,8;;1
20000;200;0,984;0,04;4,8;0,2;4,88;;1
30000;300;0,984;0,04;4,76;0,2;4,84;;1
50000;500;0,984;0,04;4,56;0,2;4,63;;1
60000;600;0,984;0,04;4,28;0,2;4,35;;1
70000;700;0,992;0,04;3,96;0,2;3,99;;1
80000;800;0,992;0,04;3,6;0,2;3,63;;1
85000;850;0,992;0,04;3,44;0,2;3,47;;1
90000;900;0,992;0,04;3,28;0,2;3,31;;1
95000;950;0,992;0,04;3,12;0,2;3,15;;1
100000;1000;1,02;0,1;2,96;0,2;2,9;;1
150000;1500;0,968;0,04;2,04;0,1;2,11;;1
