0.004816,13
0.020804,8
0.028796,5
0.036796,3
0.044780,0
0.052772,1
0.060764,3
0.068756,6
0.076752,8
0.084740,11
0.092732,13
0.100724,15
0.108716,13
0.116712,11
0.124704,8
0.132696,6
0.140688,4
0.148684,1
0.156672,0
0.164664,3
0.172656,5
0.180648,8
0.188644,10
0.196632,12
0.204624,15
0.212620,14
0.220612,12
0.228604,9
0.236596,7
0.244592,4
0.252580,2
0.260572,0
0.268564,2
0.276560,4
0.284552,7
0.292540,9
0.300532,12
0.308528,14
0.316524,15
0.324512,12
0.332504,10
0.340500,7
0.348492,5
0.356484,2
0.364484,0
0.372468,1
0.380460,4
0.388452,6
0.396444,9
0.404436,11
0.412432,14
0.420420,15
0.428416,13
0.436408,10
0.444400,8
0.452392,5
0.460384,3
0.468380,1
0.476368,1
0.484364,3
0.492352,6
0.500348,8
0.508340,11
0.516332,13
0.524328,15
0.532320,13
0.540308,11
0.548304,9
0.556296,6
0.564288,4
0.572280,1
0.580272,0
0.588264,2
0.596256,5
0.604248,8
0.612240,10
0.620232,12
0.628228,15
0.636216,14
0.644208,12
0.652200,9
0.660196,7
0.668188,4
0.676180,2
0.684172,0
0.692172,2
0.700156,4
0.708152,7
0.716144,9
0.724132,12
0.732128,14
0.740120,15
0.748112,12
0.756104,10
0.764100,7
0.772092,5
0.780084,2
0.788076,0
0.796068,1
0.804064,4
0.812052,6
0.820048,9
0.828036,11
0.836032,13
0.844024,15
0.852016,13
0.860008,10
0.868000,8
0.875992,6
0.883984,3
0.891980,1
0.899968,1
0.907964,3
0.915956,5
0.923944,8
0.931940,10
0.939928,13
0.947920,15
0.955920,14
0.963912,11
0.971900,9
0.979904,6
0.987884,4
0.995880,1
1.003868,0
1.011860,2
1.019856,5
1.027848,7
1.035840,10
1.043836,12
1.051824,15
1.059820,14
1.067812,12
1.075800,9
1.083796,7
1.091788,4
1.099780,2
1.107772,0
1.115764,2
1.123760,4
1.131748,7
1.139744,9
1.147736,12
1.155728,14
1.163720,15
1.171708,12
1.179704,10
1.187700,8
1.195692,5
1.203684,3
1.211676,0
1.219668,1
1.227660,4
1.235652,6
1.243644,9
1.251640,11
1.259628,13
1.267624,15
1.275612,13
1.283604,11
1.291600,8
1.299592,6
1.307588,3
1.315576,1
1.323572,0
1.331564,3
1.339552,5
1.347548,8
1.355540,10
1.363532,13
1.371524,15
1.379516,14
1.387508,11
1.395500,9
1.403496,6
1.411484,4
1.419480,1
1.427472,0
1.435464,2
1.443456,5
1.451448,7
1.459440,10
1.467432,12
1.475424,14
1.483416,14
1.491412,12
1.499404,9
1.507392,7
1.515388,5
1.523376,2
1.531372,0
1.539364,2
1.547360,4
1.555348,6
1.563344,9
1.571332,12
1.579324,14
1.587316,15
1.595320,13
1.603304,10
1.611296,8
1.619292,5
1.627280,3
1.635276,0
1.643264,1
1.651260,3
1.659248,6
1.667244,8
1.675232,11
1.683228,13
1.691224,15
1.699212,13
1.707204,11
1.715200,8
1.723188,6
1.731184,3
1.739180,1
1.747168,0
1.755164,3
1.763152,5
1.771144,8
1.779136,10
1.787132,13
1.795120,15
1.803116,14
1.811104,11
1.819100,9
1.827096,6
1.835088,4
1.843080,2
1.851072,0
1.859064,2
1.867056,5
1.875048,7
1.883040,10
1.891032,12
1.899028,14
1.907016,14
1.915012,12
1.923004,10
1.930996,7
1.938984,5
1.946976,2
1.954968,0
1.962960,1
1.970960,4
1.978948,6
1.986940,9
1.994936,11
2.002928,14
2.010920,15
2.018912,13
2.026904,10
2.034896,8
2.042888,5
2.050880,3
2.058872,0
2.066868,1
2.074856,3
2.082848,6
2.090844,8
2.098832,11
2.106824,13
2.114820,15
2.122812,13
2.130804,11
2.138796,8
2.146792,6
2.154784,3
2.162776,1
2.170764,0
2.178760,3
2.186752,5
2.194744,8
2.202740,10
2.210728,12
2.218720,15
2.226716,14
2.234708,12
2.242696,9
2.250700,6
2.258684,4
2.266676,2
2.274672,0
2.282660,2
2.290656,4
2.298644,7
2.306640,9
2.314632,12
2.322624,14
2.330616,15
2.338608,12
2.346604,10
2.354592,7
2.362588,5
2.370576,2
2.378572,0
2.386564,1
2.394560,4
2.402548,6
2.410540,9
2.418532,11
2.426528,14
2.434520,15
2.442508,13
2.450504,10
2.458492,8
2.466488,5
2.474484,3
2.482476,1
2.490464,1
2.498456,3
2.506448,6
2.514444,8
2.522436,11
2.530428,13
2.538428,15
2.546408,13
2.554408,11
2.562396,9
2.570388,6
2.578380,4
2.586372,1
2.594364,0
2.602360,2
2.610352,5
2.618344,8
2.626336,10
2.634328,12
2.642324,15
2.650316,14
2.666300,9
2.674292,7
2.682284,4
2.690276,2
2.698268,0
2.706260,2
2.714252,4
2.722244,7
2.730240,9
2.738232,12
2.746224,14
2.754216,15
2.762208,12
2.770200,10
2.778192,7
2.786188,5
2.794180,2
2.802172,0
2.810164,1
2.818156,4
2.826148,6
2.834140,9
2.842132,11
2.850124,13
2.858116,15
2.866112,13
2.874104,10
2.882092,8
2.890084,6
2.898080,3
2.906072,1
2.914064,1
2.922056,3
2.930052,5
2.938044,8
2.946036,10
2.954024,13
2.962020,15
2.970012,14
2.978004,11
